Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027886e-23
3.333333e-01,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.204251e-23
5.000000e-01,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.412405e-22
6.666667e-01,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.933892e-22
8.333333e-01,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.901139e-22
1.000000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.172522e-21
1.166667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.317555e-21
1.333333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.568789e-21
1.500000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.992609e-21
1.666667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.768083e-20
1.833333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.473580e-20
2.000000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.820083e-20
2.166667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.338426e-19
2.333333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.625609e-19
2.500000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.149027e-19
2.666667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.009490e-18
2.833333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.978684e-18
3.000000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.877590e-18
3.166667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.597473e-18
3.333333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.488356e-17
3.500000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.915288e-17
3.666667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.709517e-17
3.833333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.118062e-16
4.000000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.189199e-16
4.166667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.286095e-16
4.333333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.390708e-16
4.500000e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.642475e-15
4.666667e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.214880e-15
4.833333e+00,9.999840e-01,1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.292150e-15
5.000000e+00,9.999840e-01,0.000000e+00,1.600000e-05,0.000000e+00,0.000000e+00,1.231412e-14
5.166667e+00,9.999840e-01,0.000000e+00,1.600000e-05,0.000000e+00,0.000000e+00,2.409799e-14
5.333333e+00,9.999840e-01,0.000000e+00,1.600000e-05,0.000000e+00,2.300221e+00,4.719931e-14
5.500000e+00,9.999680e-01,1.600000e-05,1.600000e-05,0.000000e+00,4.975736e+00,9.251769e-14
5.666667e+00,9.999360e-01,4.800000e-05,1.600000e-05,0.000000e+00,8.137888e+00,1.815066e-13
5.833333e+00,9.999200e-01,6.400000e-05,1.600000e-05,0.000000e+00,1.192436e+01,3.564335e-13
6.000000e+00,9.998720e-01,1.120000e-04,1.600000e-05,0.000000e+00,1.650588e+01,7.005915e-13
6.166667e+00,9.998240e-01,1.600000e-04,1.600000e-05,0.000000e+00,2.209463e+01,1.394964e-12
6.333333e+00,9.997920e-01,1.920000e-04,1.600000e-05,0.000000e+00,2.895469e+01,2.882810e-12
6.500000e+00,9.997920e-01,1.920000e-04,1.600000e-05,0.000000e+00,3.741514e+01,5.841599e-12
6.666667e+00,9.997280e-01,2.560000e-04,1.600000e-05,0.000000e+00,4.788637e+01,1.171838e-11
6.833333e+00,9.996800e-01,2.880000e-04,3.200000e-05,0.000000e+00,6.088047e+01,2.331767e-11
7.000000e+00,9.996800e-01,2.880000e-04,3.200000e-05,0.000000e+00,7.703672e+01,4.678382e-11
7.166667e+00,9.996320e-01,3.360000e-04,3.200000e-05,0.000000e+00,9.715690e+01,9.130799e-11
7.333333e+00,9.995840e-01,3.840000e-04,3.200000e-05,0.000000e+00,1.222350e+02,1.768558e-10
7.500000e+00,9.995520e-01,4.160000e-04,3.200000e-05,0.000000e+00,1.535162e+02,3.430254e-10
7.666667e+00,9.994880e-01,4.640000e-04,4.800000e-05,0.000000e+00,1.925559e+02,6.690551e-10
7.833333e+00,9.994400e-01,5.120000e-04,4.800000e-05,0.000000e+00,2.412966e+02,1.301380e-09
8.000000e+00,9.993760e-01,5.440000e-04,8.000000e-05,0.000000e+00,3.021903e+02,2.542600e-09
8.166667e+00,9.993280e-01,5.760000e-04,9.600000e-05,0.000000e+00,3.782429e+02,4.952619e-09
8.333333e+00,9.992960e-01,5.600000e-04,1.440000e-04,0.000000e+00,4.732559e+02,9.646820e-09
8.500000e+00,9.992000e-01,6.080000e-04,1.920000e-04,0.000000e+00,5.919809e+02,1.880864e-08
8.666667e+00,9.991360e-01,6.560000e-04,2.080000e-04,0.000000e+00,7.402837e+02,3.666193e-08
