Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,8.627131e-08,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.171624e-23
1.666667e-01,1.078675e-07,1.000000e+00,1.000000e+00,2.027886e-23,0.000000e+00,2.967023e-23,1.090581e-24,1.159933e-25,2.952219e-23
3.333333e-01,1.348672e-07,1.000000e+00,1.000000e+00,5.961174e-23,1.094518e-23,1.255764e-22,4.998515e-24,5.722266e-25,6.237542e-23
5.000000e-01,1.686215e-07,1.000000e+00,1.000000e+00,1.329885e-22,3.348679e-23,3.356111e-22,1.424796e-23,1.721240e-24,1.258496e-22
6.666667e-01,2.108250e-07,9.999999e-01,1.000000e+00,2.736576e-22,7.634438e-23,7.572127e-22,3.365230e-23,4.234853e-24,2.503664e-22
8.333333e-01,2.635872e-07,9.999999e-01,1.000000e+00,5.482330e-22,1.587729e-22,1.586403e-21,7.259843e-23,9.422702e-24,4.953328e-22
1.000000e+00,3.295583e-07,9.999999e-01,1.000000e+00,1.087505e-21,3.195846e-22,3.209645e-21,1.493334e-22,1.983166e-23,9.771537e-22
1.166667e+00,4.120360e-07,9.999998e-01,1.000000e+00,2.147861e-21,6.352250e-22,6.382211e-21,2.992008e-22,4.039539e-23,1.924254e-21
1.333333e+00,5.151519e-07,9.999998e-01,1.000000e+00,4.232306e-21,1.255698e-21,1.258666e-20,5.909116e-22,8.069549e-23,3.784610e-21
1.500000e+00,6.440711e-07,9.999997e-01,1.000000e+00,8.327392e-21,2.475360e-21,2.472501e-20,1.157869e-21,1.593039e-22,7.436805e-21
1.666667e+00,8.052508e-07,9.999997e-01,1.000000e+00,1.636799e-20,4.871575e-21,4.847379e-20,2.258958e-21,3.121776e-22,1.460346e-20
1.833333e+00,1.006764e-06,9.999996e-01,1.000000e+00,3.214799e-20,9.576734e-21,9.496444e-20,4.397492e-21,6.090079e-22,2.866142e-20
2.000000e+00,1.258705e-06,9.999994e-01,1.000000e+00,6.310494e-20,1.881128e-20,1.859423e-19,8.549619e-21,1.184473e-21,5.622854e-20
2.166667e+00,1.573691e-06,9.999993e-01,1.000000e+00,1.238158e-19,3.692827e-20,3.639651e-19,1.661052e-20,2.298966e-21,1.102722e-19
