Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,3.093221e-12,1.000000e+00,1.000000e+00,6.057917e-02,0.000000e+00,7.618846e-01,1.036904e-01,2.992943e-02,3.759924e-02
1.666667e-01,3.867218e-12,1.000000e+00,1.000000e+00,9.051117e-02,3.269661e-02,8.581537e-01,1.112357e-01,3.199632e-02,4.022522e-02
3.333333e-01,4.834691e-12,1.000000e+00,1.000000e+00,1.076228e-01,5.277226e-02,9.832755e-01,1.202506e-01,3.423353e-02,4.302469e-02
5.000000e-01,6.043978e-12,1.000000e+00,1.000000e+00,1.196522e-01,6.606092e-02,1.126991e+00,1.310195e-01,3.668622e-02,4.606816e-02
6.666667e-01,7.555688e-12,1.000000e+00,1.000000e+00,1.299703e-01,7.584850e-02,1.284191e+00,1.436643e-01,3.940372e-02,4.942002e-02
8.333333e-01,9.445243e-12,1.000000e+00,1.000000e+00,1.401037e-01,8.397435e-02,1.452676e+00,1.582343e-01,4.243571e-02,5.314523e-02
1.000000e+00,1.180736e-11,1.000000e+00,1.000000e+00,1.508057e-01,9.149142e-02,1.631941e+00,1.747580e-01,4.583057e-02,5.730779e-02
1.166667e+00,1.475984e-11,1.000000e+00,1.000000e+00,1.625035e-01,9.902870e-02,1.822509e+00,1.932688e-01,4.963527e-02,6.197005e-02
1.333333e+00,1.845024e-11,1.000000e+00,1.000000e+00,1.754842e-01,1.069854e-01,2.025568e+00,2.138192e-01,5.389589e-02,6.719285e-02
1.500000e+00,2.306291e-11,1.000000e+00,1.000000e+00,1.899737e-01,1.156354e-01,2.242759e+00,2.364889e-01,5.865842e-02,7.303635e-02
1.666667e+00,2.882822e-11,1.000000e+00,1.000000e+00,2.061711e-01,1.251831e-01,2.476061e+00,2.613886e-01,6.396970e-02,7.956111e-02
1.833333e+00,3.603400e-11,1.000000e+00,1.000000e+00,2.242645e-01,1.357953e-01,2.727719e+00,2.886619e-01,6.987850e-02,8.682943e-02
2.000000e+00,4.503992e-11,1.000000e+00,1.000000e+00,2.444410e-01,1.476184e-01,3.000210e+00,3.184867e-01,7.643648e-02,9.490665e-02
2.166667e+00,5.629531e-11,1.000000e+00,1.000000e+00,2.668921e-01,1.607897e-01,3.296223e+00,3.510750e-01,8.369917e-02,1.038624e-01
2.333333e+00,7.036158e-11,1.000000e+00,1.000000e+00,2.918188e-01,1.754443e-01,3.618653e+00,3.866740e-01,9.172695e-02,1.137720e-01
2.500000e+00,8.793997e-11,1.000000e+00,1.000000e+00,3.194357e-01,1.917204e-01,3.970611e+00,4.255665e-01,1.005860e-01,1.247175e-01
2.666667e+00,1.099065e-10,1.000000e+00,1.000000e+00,3.499750e-01,2.097625e-01,4.355430e+00,4.680716e-01,1.103490e-01,1.367890e-01
2.833333e+00,1.373551e-10,1.000000e+00,1.000000e+00,3.836901e-01,2.297256e-01,4.776690e+00,5.145458e-01,1.210964e-01,1.500858e-01
3.000000e+00,1.716523e-10,1.000000e+00,1.000000e+00,4.208594e-01,2.517774e-01,5.238235e+00,5.653847e-01,1.329170e-01,1.647175e-01
3.166667e+00,2.145042e-10,1.000000e+00,1.000000e+00,4.617893e-01,2.761012e-01,5.744208e+00,6.210249e-01,1.459088e-01,1.808052e-01
3.333333e+00,2.680411e-10,1.000000e+00,1.000000e+00,5.068182e-01,3.028983e-01,6.299080e+00,6.819462e-01,1.601803e-01,1.984828e-01
3.500000e+00,3.349227e-10,1.000000e+00,1.000000e+00,5.563197e-01,3.323906e-01,6.907686e+00,7.486751e-01,1.758510e-01,2.178980e-01
3.666667e+00,4.184687e-10,1.000000e+00,1.000000e+00,6.107066e-01,3.648228e-01,7.575264e+00,8.217876e-01,1.930527e-01,2.392138e-01
3.833333e+00,5.228225e-10,1.000000e+00,1.000000e+00,6.704343e-01,4.004650e-01,8.307497e+00,9.019134e-01,2.119309e-01,2.626100e-01
4.000000e+00,6.531543e-10,1.000000e+00,1.000000e+00,7.360048e-01,4.396153e-01,9.110558e+00,9.897403e-01,2.326451e-01,2.882842e-01
4.166667e+00,8.159146e-10,1.000000e+00,1.000000e+00,8.079713e-01,4.826026e-01,9.991161e+00,1.086019e+00,2.553711e-01,3.164539e-01
4.333333e+00,1.019149e-09,1.000000e+00,1.000000e+00,8.869423e-01,5.297888e-01,1.095661e+01,1.191570e+00,2.803016e-01,3.473580e-01
4.500000e+00,1.272892e-09,1.000000e+00,1.000000e+00,9.735867e-01,5.815726e-01,1.201484e+01,1.307286e+00,3.076481e-01,3.812587e-01
4.666667e+00,1.589652e-09,1.000000e+00,1.000000e+00,1.068639e+00,6.383923e-01,1.317450e+01,1.434144e+00,3.376427e-01,4.184436e-01
4.833333e+00,1.985023e-09,1.000000e+00,1.000000e+00,1.172907e+00,7.007295e-01,1.444498e+01,1.573205e+00,3.705394e-01,4.592278e-01
5.000000e+00,2.478431e-09,1.000000e+00,1.000000e+00,1.287272e+00,7.691126e-01,1.583651e+01,1.725630e+00,4.066163e-01,5.039566e-01
5.166667e+00,3.094077e-09,1.000000e+00,1.000000e+00,1.412705e+00,8.441215e-01,1.736018e+01,1.892682e+00,4.461778e-01,5.530078e-01
5.333333e+00,3.862093e-09,1.000000e+00,1.000000e+00,1.550265e+00,9.263916e-01,1.902804e+01,2.075738e+00,4.895567e-01,6.067946e-01
5.500000e+00,4.823073e-09,1.000000e+00,1.000000e+00,1.701113e+00,1.016618e+00,2.085316e+01,2.276295e+00,5.371170e-01,6.657690e-01
5.666667e+00,6.018266e-09,1.000000e+00,1.000000e+00,1.866519e+00,1.115564e+00,2.284967e+01,2.495985e+00,5.892560e-01,7.304249e-01
5.833333e+00,7.511290e-09,1.000000e+00,1.000000e+00,2.047871e+00,1.224062e+00,2.503287e+01,2.736580e+00,6.464076e-01,8.013014e-01
6.000000e+00,9.368893e-09,1.000000e+00,1.000000e+00,2.246683e+00,1.343022e+00,2.741930e+01,3.000009e+00,7.090455e-01,8.789873e-01
6.166667e+00,1.168938e-08,1.000000e+00,1.000000e+00,2.464613e+00,1.473441e+00,3.002677e+01,3.288361e+00,7.776859e-01,9.641248e-01
6.333333e+00,1.457322e-08,1.000000e+00,1.000000e+00,2.703466e+00,1.616406e+00,3.287445e+01,3.603906e+00,8.528918e-01,1.057414e+00
6.500000e+00,1.816656e-08,1.000000e+00,1.000000e+00,2.965213e+00,1.773103e+00,3.598294e+01,3.949101e+00,9.352761e-01,1.159618e+00
6.666667e+00,2.263824e-08,1.000000e+00,1.000000e+00,3.252000e+00,1.944828e+00,3.937432e+01,4.326607e+00,1.025506e+00,1.271567e+00
6.833333e+00,2.820040e-08,1.000000e+00,1.000000e+00,3.566168e+00,2.132991e+00,4.307218e+01,4.739296e+00,1.124306e+00,1.394164e+00
7.000000e+00,3.511545e-08,1.000000e+00,1.000000e+00,3.910263e+00,2.339131e+00,4.710171e+01,5.190269e+00,1.232466e+00,1.528393e+00
7.166667e+00,4.370764e-08,1.000000e+00,1.000000e+00,4.287052e+00,2.564921e+00,5.148967e+01,5.682867e+00,1.350839e+00,1.675319e+00
7.333333e+00,5.438023e-08,1.000000e+00,1.000000e+00,4.699545e+00,2.812181e+00,5.626443e+01,6.220682e+00,1.480355e+00,1.836099e+00
7.500000e+00,6.762714e-08,1.000000e+00,1.000000e+00,5.151007e+00,3.082893e+00,6.145596e+01,6.807569e+00,1.622017e+00,2.011988e+00
7.666667e+00,8.405315e-08,1.000000e+00,1.000000e+00,5.644980e+00,3.379205e+00,6.709580e+01,7.447657e+00,1.776912e+00,2.204342e+00
7.833333e+00,1.043981e-07,9.999999e-01,1.000000e+00,6.185300e+00,3.703447e+00,7.321699e+01,8.145361e+00,1.946214e+00,2.414631e+00
8.000000e+00,1.295812e-07,9.999999e-01,1.000000e+00,6.776119e+00,4.058148e+00,7.985398e+01,8.905383e+00,2.131190e+00,2.644437e+00
8.166667e+00,1.607212e-07,9.999999e-01,1.000000e+00,7.421921e+00,4.446040e+00,8.704251e+01,9.732725e+00,2.333204e+00,2.895470e+00
8.333333e+00,1.991865e-07,9.999999e-01,1.000000e+00,8.127546e+00,4.870082e+00,9.481946e+01,1.063269e+01,2.553722e+00,3.169567e+00
8.500000e+00,2.466458e-07,9.999999e-01,1.000000e+00,8.898207e+00,5.333464e+00,1.032226e+02,1.161088e+01,2.794319e+00,3.468704e+00
8.666667e+00,3.050963e-07,9.999999e-01,1.000000e+00,9.739512e+00,5.839625e+00,1.122903e+02,1.267319e+01,3.056681e+00,3.794998e+00
8.833333e+00,3.769952e-07,9.999998e-01,1.000000e+00,1.065748e+01,6.392266e+00,1.220615e+02,1.382581e+01,3.342612e+00,4.150716e+00
9.000000e+00,4.652618e-07,9.999998e-01,1.000000e+00,1.165856e+01,6.995366e+00,1.325747e+02,1.507522e+01,3.654032e+00,4.538279e+00
9.166667e+00,5.734220e-07,9.999997e-01,1.000000e+00,1.274966e+01,7.653188e+00,1.438684e+02,1.642814e+01,3.992990e+00,4.960267e+00
9.333333e+00,7.056760e-07,9.999996e-01,1.000000e+00,1.393813e+01,8.370294e+00,1.559800e+02,1.789153e+01,4.361655e+00,5.419419e+00
9.500000e+00,8.669788e-07,9.999996e-01,1.000000e+00,1.523180e+01,9.151555e+00,1.689454e+02,1.947260e+01,4.762325e+00,5.918641e+00
9.666667e+00,1.063184e-06,9.999995e-01,1.000000e+00,1.663900e+01,1.000216e+01,1.827988e+02,2.117867e+01,5.197425e+00,6.461004e+00
9.833333e+00,1.301105e-06,9.999993e-01,1.000000e+00,1.816853e+01,1.092763e+01,1.975718e+02,2.301726e+01,5.669504e+00,7.049742e+00
1.000000e+01,1.588611e-06,9.999992e-01,1.000000e+00,1.982968e+01,1.193381e+01,2.132925e+02,2.499595e+01,6.181237e+00,7.688255e+00
1.016667e+01,1.934683e-06,9.999990e-01,1.000000e+00,2.163225e+01,1.302687e+01,2.299858e+02,2.712235e+01,6.735416e+00,8.380098e+00
1.033333e+01,2.349414e-06,9.999988e-01,1.000000e+00,2.358649e+01,1.421332e+01,2.476717e+02,2.940406e+01,7.334947e+00,9.128982e+00
1.050000e+01,2.843971e-06,9.999985e-01,1.000000e+00,2.570314e+01,1.550001e+01,2.663657e+02,3.184860e+01,7.982844e+00,9.938761e+00
1.066667e+01,3.430436e-06,9.999982e-01,1.000000e+00,2.799337e+01,1.689407e+01,2.860774e+02,3.446332e+01,8.682217e+00,1.081342e+01
1.083333e+01,4.121572e-06,9.999978e-01,1.000000e+00,3.046878e+01,1.840298e+01,3.068108e+02,3.725535e+01,9.436263e+00,1.175707e+01
1.100000e+01,4.930336e-06,9.999974e-01,1.000000e+00,3.314135e+01,2.003448e+01,3.285631e+02,4.023155e+01,1.024825e+01,1.277393e+01
1.116667e+01,5.869406e-06,9.999969e-01,1.000000e+00,3.602339e+01,2.179661e+01,3.513250e+02,4.339837e+01,1.112152e+01,1.386830e+01
