Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.204251e-23
5.000000e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.412405e-22
6.666667e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.933893e-22
8.333333e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.901139e-22
1.000000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.172522e-21
1.166667e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.317555e-21
1.333333e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.568790e-21
1.500000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.992609e-21
1.666667e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.768083e-20
1.833333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,0.000000e+00,3.473580e-20
2.000000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,0.000000e+00,6.820083e-20
2.166667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,3.302762e-02,1.338426e-19
2.333333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,7.144443e-02,2.625609e-19
2.500000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,1.168494e-01,5.149027e-19
2.666667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,1.712199e-01,1.009490e-18
2.833333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,2.370083e-01,1.978684e-18
3.000000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,3.172623e-01,3.877591e-18
3.166667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,4.157758e-01,7.597473e-18
3.333333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,5.372769e-01,1.488356e-17
3.500000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,6.876631e-01,2.915288e-17
3.666667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,8.742950e-01,5.709517e-17
3.833333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,1.106363e+00,1.118062e-16
4.000000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,1.395349e+00,2.189199e-16
4.166667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,1.755594e+00,4.286094e-16
4.333333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,2.205024e+00,8.390708e-16
4.500000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,2.766040e+00,1.642475e-15
4.666667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,3.466641e+00,3.214880e-15
4.833333e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,4.341825e+00,6.292150e-15
5.000000e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,5.435343e+00,1.231412e-14
5.166667e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,6.801886e+00,2.409798e-14
5.333333e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,8.509826e+00,4.719699e-14
5.500000e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,1.064463e+01,9.250642e-14
5.666667e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,1.331316e+01,1.814714e-13
5.833333e+00,9.999313e-01,4.578650e-05,2.289325e-05,0.000000e+00,1.664899e+01,3.563432e-13
6.000000e+00,9.999084e-01,6.867975e-05,2.289325e-05,0.000000e+00,2.081910e+01,7.003836e-13
6.166667e+00,9.998855e-01,9.157300e-05,2.289325e-05,0.000000e+00,2.603227e+01,1.394456e-12
6.333333e+00,9.998169e-01,1.602527e-04,2.289325e-05,0.000000e+00,3.254946e+01,2.882028e-12
6.500000e+00,9.997940e-01,1.373595e-04,6.867975e-05,0.000000e+00,4.069690e+01,5.839907e-12
6.666667e+00,9.997711e-01,1.373595e-04,9.157300e-05,0.000000e+00,5.088236e+01,1.171508e-11
6.833333e+00,9.997711e-01,1.144662e-04,1.144662e-04,0.000000e+00,6.362466e+01,2.331130e-11
7.000000e+00,9.997482e-01,1.373595e-04,1.144662e-04,0.000000e+00,7.955772e+01,4.674753e-11
7.166667e+00,9.997253e-01,1.602527e-04,1.144662e-04,0.000000e+00,9.948009e+01,9.126335e-11
7.333333e+00,9.997253e-01,1.373595e-04,1.373595e-04,0.000000e+00,1.243830e+02,1.768025e-10
7.500000e+00,9.997024e-01,1.602527e-04,1.373595e-04,0.000000e+00,1.555111e+02,3.429484e-10
7.666667e+00,9.996795e-01,1.831460e-04,1.373595e-04,0.000000e+00,1.945003e+02,6.689269e-10
7.833333e+00,9.996566e-01,2.060392e-04,1.373595e-04,0.000000e+00,2.432256e+02,1.301160e-09
8.000000e+00,9.996108e-01,2.060392e-04,1.831460e-04,0.000000e+00,3.041173e+02,2.542186e-09
8.166667e+00,9.995650e-01,2.518257e-04,1.831460e-04,0.000000e+00,3.802097e+02,4.951865e-09
8.333333e+00,9.994735e-01,3.433987e-04,1.831460e-04,0.000000e+00,4.753457e+02,9.645463e-09
8.500000e+00,9.994048e-01,4.120785e-04,1.831460e-04,0.000000e+00,5.942050e+02,1.880650e-08
8.666667e+00,9.993132e-01,5.036515e-04,1.831460e-04,0.000000e+00,7.426838e+02,3.665841e-08
8.833333e+00,9.992903e-01,5.265447e-04,1.831460e-04,0.000000e+00,9.281310e+02,7.143154e-08
9.000000e+00,9.992445e-01,5.036515e-04,2.518257e-04,0.000000e+00,1.159698e+03,1.390677e-07
9.166667e+00,9.991758e-01,5.723312e-04,2.518257e-04,0.000000e+00,1.448771e+03,2.705182e-07
9.333333e+00,9.991072e-01,6.181177e-04,2.747190e-04,0.000000e+00,1.809520e+03,5.256747e-07
9.500000e+00,9.989927e-01,7.096907e-04,2.976122e-04,0.000000e+00,2.259480e+03,1.020010e-06
9.666667e+00,9.989240e-01,7.096907e-04,3.662920e-04,0.000000e+00,2.820516e+03,1.975819e-06
9.833333e+00,9.987638e-01,8.012637e-04,4.349717e-04,0.000000e+00,3.519392e+03,3.818868e-06
1.000000e+01,9.987180e-01,8.470502e-04,4.349717e-04,0.000000e+00,4.389227e+03,7.361242e-06
1.016667e+01,9.986493e-01,8.928367e-04,4.578650e-04,0.000000e+00,5.471288e+03,1.414176e-05
1.033333e+01,9.986035e-01,8.928367e-04,5.036515e-04,0.000000e+00,6.814564e+03,2.705476e-05
1.050000e+01,9.984890e-01,1.007303e-03,5.036515e-04,0.000000e+00,8.479297e+03,5.149263e-05
1.066667e+01,9.984204e-01,1.075983e-03,5.036515e-04,0.000000e+00,1.053813e+04,9.738367e-05
1.083333e+01,9.983517e-01,1.121769e-03,5.265447e-04,0.000000e+00,1.307773e+04,1.827409e-04
1.100000e+01,9.982143e-01,1.236235e-03,5.494380e-04,0.000000e+00,1.620047e+04,3.396524e-04
